T09;Public expenditure on education (as of 2021);;;
76;Brazil;2013;Public expenditure on education (% of GDP);5.8
76;Brazil;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.3
76;Brazil;2015;All staff compensation as % of total expenditure in public institutions (%);74.7
76;Brazil;2015;Capital expenditure as % of total expenditure in public institutions (%);3.9
76;Brazil;2015;Public expenditure on education (% of GDP);6.2
76;Brazil;2017;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);22.9
76;Brazil;2017;All staff compensation as % of total expenditure in public institutions (%);74.6
76;Brazil;2017;Capital expenditure as % of total expenditure in public institutions (%);2.5
76;Brazil;2017;Basic access to computers by level of education: Primary;53.5
76;Brazil;2017;Basic access to computers by level of education: Lower secondary;73
76;Brazil;2017;Basic access to computers by level of education: Upper secondary;86
76;Brazil;2017;Public expenditure on education (% of GDP);6.3
76;Brazil;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.5
76;Brazil;2019;All staff compensation as % of total expenditure in public institutions (%);73.6
76;Brazil;2019;Capital expenditure as % of total expenditure in public institutions (%);3.0
76;Brazil;2019;Public expenditure on education (% of GDP);6.0
92;British Virgin Islands;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);0.7
92;British Virgin Islands;2005;All staff compensation as % of total expenditure in public institutions (%);99.3
92;British Virgin Islands;2005;Public expenditure on education (% of GDP);3.0
92;British Virgin Islands;2007;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.1
92;British Virgin Islands;2007;All staff compensation as % of total expenditure in public institutions (%);77.8
92;British Virgin Islands;2007;Capital expenditure as % of total expenditure in public institutions (%);7.1
92;British Virgin Islands;2007;Public expenditure on education (% of GDP);3.0
92;British Virgin Islands;2010;Basic access to computers by level of education: Primary;100.0
92;British Virgin Islands;2010;Basic access to computers by level of education: Lower secondary;100
92;British Virgin Islands;2010;Basic access to computers by level of education: Upper secondary;100
92;British Virgin Islands;2010;Public expenditure on education (% of GDP);3.5
92;British Virgin Islands;2015;Public expenditure on education (% of GDP);4.7
92;British Virgin Islands;2020;Basic access to computers by level of education: Primary;100.0
92;British Virgin Islands;2020;Basic access to computers by level of education: Lower secondary;86
92;British Virgin Islands;2020;Basic access to computers by level of education: Upper secondary;88
92;British Virgin Islands;2020;Public expenditure on education (% of GDP);2.6
92;British Virgin Islands;2021;Basic access to computers by level of education: Primary;100.0
92;British Virgin Islands;2021;Basic access to computers by level of education: Lower secondary;100
92;British Virgin Islands;2021;Basic access to computers by level of education: Upper secondary;100
96;Brunei Darussalam;2000;Public expenditure on education (% of GDP);3.7
96;Brunei Darussalam;2010;Public expenditure on education (% of GDP);2.0
96;Brunei Darussalam;2014;Public expenditure on education (% of GDP);3.4
96;Brunei Darussalam;2016;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);30.6
96;Brunei Darussalam;2016;All staff compensation as % of total expenditure in public institutions (%);66.2
96;Brunei Darussalam;2016;Capital expenditure as % of total expenditure in public institutions (%);3.2
96;Brunei Darussalam;2016;Basic access to computers by level of education: Lower secondary;100
96;Brunei Darussalam;2016;Basic access to computers by level of education: Upper secondary;100
96;Brunei Darussalam;2016;Public expenditure on education (% of GDP);4.4
96;Brunei Darussalam;2020;Basic access to computers by level of education: Lower secondary;100
96;Brunei Darussalam;2020;Basic access to computers by level of education: Upper secondary;100
100;Bulgaria;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);26.7
100;Bulgaria;2005;All staff compensation as % of total expenditure in public institutions (%);63.2
100;Bulgaria;2005;Capital expenditure as % of total expenditure in public institutions (%);10.1
100;Bulgaria;2005;Public expenditure on education (% of GDP);4.1
100;Bulgaria;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);28.4
100;Bulgaria;2010;All staff compensation as % of total expenditure in public institutions (%);66.6
100;Bulgaria;2010;Capital expenditure as % of total expenditure in public institutions (%);5.1
100;Bulgaria;2010;Public expenditure on education (% of GDP);3.9
100;Bulgaria;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.9
100;Bulgaria;2013;All staff compensation as % of total expenditure in public institutions (%);71.8
100;Bulgaria;2013;Capital expenditure as % of total expenditure in public institutions (%);7.3
100;Bulgaria;2013;Public expenditure on education (% of GDP);4.1
100;Bulgaria;2015;Basic access to computers by level of education: Primary;43.3
100;Bulgaria;2015;Public expenditure on education (% of GDP);3.9
100;Bulgaria;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.4
100;Bulgaria;2019;All staff compensation as % of total expenditure in public institutions (%);73.6
100;Bulgaria;2019;Capital expenditure as % of total expenditure in public institutions (%);5.9
100;Bulgaria;2019;Basic access to computers by level of education: Primary;36.1
100;Bulgaria;2019;Public expenditure on education (% of GDP);4.2
854;Burkina Faso;2005;Public expenditure on education (% of GDP);3.9
854;Burkina Faso;2007;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);8.0
854;Burkina Faso;2007;All staff compensation as % of total expenditure in public institutions (%);56.7
854;Burkina Faso;2007;Capital expenditure as % of total expenditure in public institutions (%);35.3
854;Burkina Faso;2007;Public expenditure on education (% of GDP);4.1
854;Burkina Faso;2010;Public expenditure on education (% of GDP);3.5
854;Burkina Faso;2015;Public expenditure on education (% of GDP);3.7
854;Burkina Faso;2021;Basic access to computers by level of education: Primary;0.6
854;Burkina Faso;2021;Basic access to computers by level of education: Lower secondary;4
854;Burkina Faso;2021;Basic access to computers by level of education: Upper secondary;3
854;Burkina Faso;2021;Public expenditure on education (% of GDP);5.2
108;Burundi;2005;Public expenditure on education (% of GDP);3.6
108;Burundi;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);23.7
108;Burundi;2010;All staff compensation as % of total expenditure in public institutions (%);68.5
108;Burundi;2010;Capital expenditure as % of total expenditure in public institutions (%);7.9
108;Burundi;2010;Public expenditure on education (% of GDP);6.8
108;Burundi;2012;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.5
108;Burundi;2012;All staff compensation as % of total expenditure in public institutions (%);77.6
108;Burundi;2012;Capital expenditure as % of total expenditure in public institutions (%);1.9
108;Burundi;2012;Public expenditure on education (% of GDP);6.2
108;Burundi;2015;Public expenditure on education (% of GDP);6.4
108;Burundi;2018;Basic access to computers by level of education: Primary;0.0
108;Burundi;2018;Basic access to computers by level of education: Upper secondary;17
108;Burundi;2018;Public expenditure on education (% of GDP);5.1
108;Burundi;2019;Basic access to computers by level of education: Primary;0.0
108;Burundi;2019;Basic access to computers by level of education: Lower secondary;0
108;Burundi;2019;Public expenditure on education (% of GDP);5.3
108;Burundi;2020;Public expenditure on education (% of GDP);5.1
132;Cabo Verde;2004;Public expenditure on education (% of GDP);7.5
132;Cabo Verde;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);2.1
132;Cabo Verde;2005;All staff compensation as % of total expenditure in public institutions (%);82.4
132;Cabo Verde;2005;Capital expenditure as % of total expenditure in public institutions (%);16.7
132;Cabo Verde;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);15.6
