SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
154;Northern Europe;2005;Labour force participation - Male;69.2;
154;Northern Europe;2005;Unemployment rate - Male;5.7;
154;Northern Europe;2005;Labour force participation - Female;56.0;
154;Northern Europe;2005;Unemployment rate - Female;5.2;
154;Northern Europe;2010;Labour force participation - Total;62.3;
154;Northern Europe;2010;Unemployment rate - Total;8.6;
154;Northern Europe;2010;Labour force participation - Male;68.3;
154;Northern Europe;2010;Unemployment rate - Male;9.5;
154;Northern Europe;2010;Labour force participation - Female;56.6;
154;Northern Europe;2010;Unemployment rate - Female;7.6;
154;Northern Europe;2015;Labour force participation - Total;62.5;
154;Northern Europe;2015;Unemployment rate - Total;6.1;
154;Northern Europe;2015;Labour force participation - Male;67.9;
154;Northern Europe;2015;Unemployment rate - Male;6.3;
154;Northern Europe;2015;Labour force participation - Female;57.4;
154;Northern Europe;2015;Unemployment rate - Female;5.9;
154;Northern Europe;2023;Labour force participation - Total;62.9;
154;Northern Europe;2023;Unemployment rate - Total;4.6;
154;Northern Europe;2023;Labour force participation - Male;66.8;
154;Northern Europe;2023;Unemployment rate - Male;4.7;
154;Northern Europe;2023;Labour force participation - Female;59.1;
154;Northern Europe;2023;Unemployment rate - Female;4.5;
39;Southern Europe;2005;Labour force participation - Total;53.0;
39;Southern Europe;2005;Unemployment rate - Total;10.3;
39;Southern Europe;2005;Labour force participation - Male;64.0;
39;Southern Europe;2005;Unemployment rate - Male;8.4;
39;Southern Europe;2005;Labour force participation - Female;42.7;
39;Southern Europe;2005;Unemployment rate - Female;13.0;
39;Southern Europe;2010;Labour force participation - Total;53.4;
39;Southern Europe;2010;Unemployment rate - Total;14.2;
39;Southern Europe;2010;Labour force participation - Male;62.7;
39;Southern Europe;2010;Unemployment rate - Male;13.4;
39;Southern Europe;2010;Labour force participation - Female;44.7;
39;Southern Europe;2010;Unemployment rate - Female;15.4;
39;Southern Europe;2015;Labour force participation - Total;53.3;
39;Southern Europe;2015;Unemployment rate - Total;17.2;
39;Southern Europe;2015;Labour force participation - Male;61.4;
39;Southern Europe;2015;Unemployment rate - Male;16.2;
39;Southern Europe;2015;Labour force participation - Female;45.7;
39;Southern Europe;2015;Unemployment rate - Female;18.5;
39;Southern Europe;2023;Labour force participation - Total;53.6;
39;Southern Europe;2023;Unemployment rate - Total;10.7;
39;Southern Europe;2023;Labour force participation - Male;60.9;
39;Southern Europe;2023;Unemployment rate - Male;9.4;
39;Southern Europe;2023;Labour force participation - Female;46.8;
39;Southern Europe;2023;Unemployment rate - Female;12.2;
155;Western Europe;2005;Labour force participation - Total;58.2;
155;Western Europe;2005;Unemployment rate - Total;9.1;
155;Western Europe;2005;Labour force participation - Male;65.6;
155;Western Europe;2005;Unemployment rate - Male;8.9;
155;Western Europe;2005;Labour force participation - Female;51.3;
155;Western Europe;2005;Unemployment rate - Female;9.4;
155;Western Europe;2010;Labour force participation - Total;59.0;
155;Western Europe;2010;Unemployment rate - Total;7.2;
155;Western Europe;2010;Labour force participation - Male;65.3;
155;Western Europe;2010;Unemployment rate - Male;7.3;
155;Western Europe;2010;Labour force participation - Female;53.0;
155;Western Europe;2010;Unemployment rate - Female;7.2;
155;Western Europe;2015;Labour force participation - Total;59.1;
155;Western Europe;2015;Unemployment rate - Total;6.9;
155;Western Europe;2015;Labour force participation - Male;64.6;
155;Western Europe;2015;Unemployment rate - Male;7.1;
155;Western Europe;2015;Labour force participation - Female;54.0;
155;Western Europe;2015;Unemployment rate - Female;6.6;
155;Western Europe;2023;Labour force participation - Total;59.9;
155;Western Europe;2023;Unemployment rate - Total;4.9;
155;Western Europe;2023;Labour force participation - Male;64.9;
155;Western Europe;2023;Unemployment rate - Male;5.0;
155;Western Europe;2023;Labour force participation - Female;55.2;
155;Western Europe;2023;Unemployment rate - Female;4.8;
9;Oceania;2005;Labour force participation - Total;64.2;
9;Oceania;2005;Unemployment rate - Total;4.5;
9;Oceania;2005;Labour force participation - Male;71.0;
9;Oceania;2005;Unemployment rate - Male;4.4;
9;Oceania;2005;Labour force participation - Female;57.6;
9;Oceania;2005;Unemployment rate - Female;4.6;
9;Oceania;2010;Labour force participation - Total;62.8;
9;Oceania;2010;Unemployment rate - Total;5.0;
9;Oceania;2010;Labour force participation - Male;68.6;
9;Oceania;2010;Unemployment rate - Male;4.9;
9;Oceania;2010;Labour force participation - Female;57.0;
9;Oceania;2010;Unemployment rate - Female;5.1;
9;Oceania;2015;Labour force participation - Total;62.3;
9;Oceania;2015;Unemployment rate - Total;5.4;
9;Oceania;2015;Labour force participation - Male;67.4;
9;Oceania;2015;Unemployment rate - Male;5.5;
9;Oceania;2015;Labour force participation - Female;57.2;
9;Oceania;2015;Unemployment rate - Female;5.4;
9;Oceania;2023;Labour force participation - Total;62.4;
9;Oceania;2023;Unemployment rate - Total;3.4;
9;Oceania;2023;Labour force participation - Male;66.4;
9;Oceania;2023;Unemployment rate - Male;3.6;
9;Oceania;2023;Labour force participation - Female;58.5;
9;Oceania;2023;Unemployment rate - Female;3.3;
4;Afghanistan;2005;Labour force participation - Total;47.1;
4;Afghanistan;2005;Unemployment rate - Total;8.1;
4;Afghanistan;2005;Labour force participation - Male;78.6;
4;Afghanistan;2005;Unemployment rate - Male;7.6;
4;Afghanistan;2005;Labour force participation - Female;16.1;
4;Afghanistan;2005;Unemployment rate - Female;10.6;
4;Afghanistan;2010;Labour force participation - Total;46.9;
4;Afghanistan;2010;Unemployment rate - Total;8.1;
4;Afghanistan;2010;Labour force participation - Male;78.6;
4;Afghanistan;2010;Unemployment rate - Male;7.6;
4;Afghanistan;2010;Labour force participation - Female;15.5;
4;Afghanistan;2010;Unemployment rate - Female;10.6;
4;Afghanistan;2015;Labour force participation - Total;47.2;
4;Afghanistan;2015;Unemployment rate - Total;9.0;
4;Afghanistan;2015;Labour force participation - Male;75.3;
4;Afghanistan;2015;Unemployment rate - Male;8.3;
4;Afghanistan;2015;Labour force participation - Female;19.1;
4;Afghanistan;2015;Unemployment rate - Female;11.5;
4;Afghanistan;2020;Labour force participation - Total;41.6;
4;Afghanistan;2020;Unemployment rate - Total;11.7;
4;Afghanistan;2020;Labour force participation - Male;66.7;
4;Afghanistan;2020;Unemployment rate - Male;10.5;
4;Afghanistan;2020;Labour force participation - Female;16.5;
4;Afghanistan;2020;Unemployment rate - Female;16.8;
8;Albania;2005;Labour force participation - Total;56.4;
8;Albania;2005;Unemployment rate - Total;16.0;
8;Albania;2005;Labour force participation - Male;66.0;
8;Albania;2005;Unemployment rate - Male;15.6;
8;Albania;2005;Labour force participation - Female;47.1;
8;Albania;2005;Unemployment rate - Female;16.4;
8;Albania;2010;Labour force participation - Total;55.2;
8;Albania;2010;Unemployment rate - Total;14.1;
8;Albania;2010;Labour force participation - Male;63.8;
8;Albania;2010;Unemployment rate - Male;12.8;
8;Albania;2010;Labour force participation - Female;46.7;
8;Albania;2010;Unemployment rate - Female;15.9;
8;Albania;2015;Labour force participation - Total;55.5;
8;Albania;2015;Unemployment rate - Total;17.2;
8;Albania;2015;Labour force participation - Male;64.1;
8;Albania;2015;Unemployment rate - Male;17.2;
8;Albania;2015;Labour force participation - Female;47.0;
8;Albania;2015;Unemployment rate - Female;17.1;
8;Albania;2023;Labour force participation - Total;59.4;
8;Albania;2023;Unemployment rate - Total;12.5;
8;Albania;2023;Labour force participation - Male;66.6;
8;Albania;2023;Unemployment rate - Male;12.6;
8;Albania;2023;Labour force participation - Female;52.3;
8;Albania;2023;Unemployment rate - Female;12.5;
12;Algeria;2005;Labour force participation - Total;42.5;
12;Algeria;2005;Unemployment rate - Total;15.3;
12;Algeria;2005;Labour force participation - Male;70.9;
12;Algeria;2005;Unemployment rate - Male;14.9;
12;Algeria;2005;Labour force participation - Female;13.1;
12;Algeria;2005;Unemployment rate - Female;17.2;
12;Algeria;2010;Labour force participation - Total;41.7;
12;Algeria;2010;Unemployment rate - Total;10.0;
12;Algeria;2010;Labour force participation - Male;68.4;
12;Algeria;2010;Unemployment rate - Male;8.1;
12;Algeria;2010;Labour force participation - Female;14.1;
12;Algeria;2010;Unemployment rate - Female;19.2;
12;Algeria;2015;Labour force participation - Total;41.7;
12;Algeria;2015;Unemployment rate - Total;11.2;
12;Algeria;2015;Labour force participation - Male;66.3;
12;Algeria;2015;Unemployment rate - Male;9.9;
12;Algeria;2015;Labour force participation - Female;16.2;
12;Algeria;2015;Unemployment rate - Female;16.6;
12;Algeria;2023;Labour force participation - Total;40.8;
12;Algeria;2023;Unemployment rate - Total;11.6;
12;Algeria;2023;Labour force participation - Male;64.2;
12;Algeria;2023;Unemployment rate - Male;9.4;
12;Algeria;2023;Labour force participation - Female;16.6;
12;Algeria;2023;Unemployment rate - Female;20.4;
16;American Samoa;2000;Labour force participation - Total;52.9;
16;American Samoa;2000;Unemployment rate - Total;5.1;
16;American Samoa;2000;Labour force participation - Male;58.8;
16;American Samoa;2000;Unemployment rate - Male;4.9;
16;American Samoa;2000;Labour force participation - Female;41.2;
16;American Samoa;2000;Unemployment rate - Female;6.0;
16;American Samoa;2005;Labour force participation - Total;59.9;
16;American Samoa;2010;Labour force participation - Total;52.8;
16;American Samoa;2010;Unemployment rate - Total;9.2;
24;Angola;2005;Labour force participation - Total;77.2;
24;Angola;2005;Unemployment rate - Total;3.9;
24;Angola;2005;Labour force participation - Male;78.9;
24;Angola;2005;Unemployment rate - Male;4.8;
24;Angola;2005;Labour force participation - Female;75.7;
24;Angola;2005;Unemployment rate - Female;3.1;
24;Angola;2010;Labour force participation - Total;77.3;
24;Angola;2010;Unemployment rate - Total;9.4;
24;Angola;2010;Labour force participation - Male;79.0;
24;Angola;2010;Unemployment rate - Male;7.9;
24;Angola;2010;Labour force participation - Female;75.6;
24;Angola;2010;Unemployment rate - Female;10.9;
24;Angola;2015;Labour force participation - Total;77.3;
24;Angola;2015;Unemployment rate - Total;9.6;
24;Angola;2015;Labour force participation - Male;79.9;
24;Angola;2015;Unemployment rate - Male;10.0;
24;Angola;2015;Labour force participation - Female;74.9;
24;Angola;2015;Unemployment rate - Female;9.2;
24;Angola;2023;Labour force participation - Total;77.0;
24;Angola;2023;Unemployment rate - Total;10.1;
24;Angola;2023;Labour force participation - Male;79.1;
24;Angola;2023;Unemployment rate - Male;10.3;
24;Angola;2023;Labour force participation - Female;75.1;
24;Angola;2023;Unemployment rate - Female;9.8;
32;Argentina;2005;Labour force participation - Total;61.5;
32;Argentina;2005;Unemployment rate - Total;11.5;
32;Argentina;2005;Labour force participation - Male;74.6;
32;Argentina;2005;Unemployment rate - Male;10.1;
32;Argentina;2005;Labour force participation - Female;49.1;
32;Argentina;2005;Unemployment rate - Female;13.6;
32;Argentina;2010;Labour force participation - Total;60.2;
32;Argentina;2010;Unemployment rate - Total;7.7;
32;Argentina;2010;Labour force participation - Male;73.3;
32;Argentina;2010;Unemployment rate - Male;6.7;
32;Argentina;2010;Labour force participation - Female;47.7;
32;Argentina;2010;Unemployment rate - Female;9.2;
32;Argentina;2015;Labour force participation - Total;59.2;
32;Argentina;2015;Unemployment rate - Total;7.5;
32;Argentina;2015;Labour force participation - Male;71.5;
32;Argentina;2015;Unemployment rate - Male;6.7;
32;Argentina;2015;Labour force participation - Female;47.5;
32;Argentina;2015;Unemployment rate - Female;8.6;
32;Argentina;2023;Labour force participation - Total;59.4;
32;Argentina;2023;Unemployment rate - Total;6.6;
32;Argentina;2023;Labour force participation - Male;69.3;
32;Argentina;2023;Unemployment rate - Male;6.0;
32;Argentina;2023;Labour force participation - Female;50.0;
32;Argentina;2023;Unemployment rate - Female;7.4;
51;Armenia;2005;Labour force participation - Total;60.5;
51;Armenia;2005;Unemployment rate - Total;10.2;
51;Armenia;2005;Labour force participation - Male;67.7;
51;Armenia;2005;Unemployment rate - Male;9.3;
51;Armenia;2005;Labour force participation - Female;54.5;
51;Armenia;2005;Unemployment rate - Female;11.1;
51;Armenia;2010;Labour force participation - Total;61.4;
51;Armenia;2010;Unemployment rate - Total;10.5;
51;Armenia;2010;Labour force participation - Male;68.8;
51;Armenia;2010;Unemployment rate - Male;11.0;
51;Armenia;2010;Labour force participation - Female;55.4;
51;Armenia;2010;Unemployment rate - Female;10.0;
51;Armenia;2015;Labour force participation - Total;61.6;
51;Armenia;2015;Unemployment rate - Total;12.2;
51;Armenia;2015;Labour force participation - Male;69.3;
51;Armenia;2015;Unemployment rate - Male;13.5;
51;Armenia;2015;Labour force participation - Female;55.7;
51;Armenia;2015;Unemployment rate - Female;10.9;
51;Armenia;2023;Labour force participation - Total;62.3;
51;Armenia;2023;Unemployment rate - Total;13.0;
51;Armenia;2023;Labour force participation - Male;68.5;
51;Armenia;2023;Unemployment rate - Male;15.3;
51;Armenia;2023;Labour force participation - Female;57.6;
51;Armenia;2023;Unemployment rate - Female;10.9;
533;Aruba;2001;Unemployment rate - Total;6.9;
533;Aruba;2001;Unemployment rate - Male;6.5;
533;Aruba;2001;Unemployment rate - Female;7.4;
533;Aruba;2010;Labour force participation - Total;63.9;
533;Aruba;2010;Unemployment rate - Total;10.6;
533;Aruba;2010;Labour force participation - Male;68.9;
533;Aruba;2010;Unemployment rate - Male;10.8;
533;Aruba;2010;Labour force participation - Female;59.5;
